
[2026-06-18T15:29:50.663Z] useNativeToolCalls=true, tools=27, enableNativeToolCalls=true
[2026-06-18T15:29:57.397Z] chunk: type=text, len=1
[2026-06-18T15:29:58.166Z] chunk: type=text, len=2
[2026-06-18T15:29:58.166Z] chunk: type=text, len=2
[2026-06-18T15:29:58.167Z] chunk: type=text, len=2
[2026-06-18T15:29:58.167Z] chunk: type=text, len=2
[2026-06-18T15:29:58.168Z] chunk: type=text, len=1
[2026-06-18T15:29:58.168Z] chunk: type=text, len=1
[2026-06-18T15:29:58.168Z] chunk: type=text, len=2
[2026-06-18T15:29:58.169Z] chunk: type=text, len=2
[2026-06-18T15:29:58.169Z] chunk: type=text, len=3
[2026-06-18T15:29:58.169Z] chunk: type=text, len=4
[2026-06-18T15:29:58.170Z] chunk: type=text, len=4
[2026-06-18T15:29:58.170Z] chunk: type=text, len=1
[2026-06-18T15:29:58.170Z] chunk: type=text, len=1
[2026-06-18T15:29:58.297Z] chunk: type=text, len=1
[2026-06-18T15:29:58.297Z] chunk: type=text, len=1
[2026-06-18T15:29:58.887Z] chunk: type=text, len=1
[2026-06-18T15:29:58.887Z] chunk: type=text, len=1
[2026-06-18T15:29:58.888Z] chunk: type=text, len=1
[2026-06-18T15:29:58.888Z] chunk: type=text, len=1
[2026-06-18T15:29:58.888Z] chunk: type=text, len=1
[2026-06-18T15:29:58.889Z] chunk: type=text, len=1
[2026-06-18T15:29:58.889Z] chunk: type=text, len=1
[2026-06-18T15:29:58.889Z] chunk: type=text, len=1
[2026-06-18T15:29:58.890Z] chunk: type=text, len=2
[2026-06-18T15:29:58.890Z] chunk: type=text, len=1
[2026-06-18T15:29:58.890Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:58.892Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:58.892Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:58.893Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:58.893Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:58.893Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:58.894Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:58.894Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:58.894Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:58.895Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:58.895Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:58.895Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:58.895Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:58.896Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:58.896Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:58.896Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:58.897Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:58.897Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:58.897Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:58.897Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:58.898Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:58.898Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:58.898Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:59.658Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:59.659Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:59.660Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:59.660Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:59.660Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:59.661Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:59.661Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:59.661Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:59.662Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:59.662Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:59.662Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:59.663Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:59.663Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:59.663Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:59.663Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:59.664Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:59.664Z] chunk: type=tool_calls, name=apply_patch
[2026-06-18T15:29:59.664Z] chunk: type=tool_calls, name=apply_patch
